audiourl,overall_evaluation(level: 1/2/3),ONE,SPRING,DAY,SOME,NAUGHTY,BOYS,WERE,PLAYING,NEAR,A,POND.
https://mtutor.blob.core.windows.net/system-user-audio/20190103/0a59f700d6bd436981b743f762ed6b76.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190421/1a523ecd02ac4a14a20b505e3fa07453.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190612/7f7a50edcc2e4367b51d52d5ec8dfa7b.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190103/0a59f700d6bd436981b743f762ed6b76.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191230/ce6482e2e30847f9af56e5c9ab41fe95.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191210/c1cbba2eb634433993ac4cc037bf3bd2.mp3,2,1,2,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190924/334233da955045c2abf6271c1bf64763.mp3,3,3,3,3,2,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190927/99e79c9c18414813a8c398c5cf1195f8.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190927/a796860fa4074b1e955a34dac2ad3b41.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191230/ce6482e2e30847f9af56e5c9ab41fe95.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191210/c1cbba2eb634433993ac4cc037bf3bd2.mp3,2,1,2,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190924/334233da955045c2abf6271c1bf64763.mp3,3,3,3,3,2,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190927/99e79c9c18414813a8c398c5cf1195f8.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190927/a796860fa4074b1e955a34dac2ad3b41.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190818/7ff5e2d3484b42c39fdb78682ce6cebf.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190818/7ff5e2d3484b42c39fdb78682ce6cebf.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190419/8289f5eb14434fddaea5fe6389c56f42.mp3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190419/8289f5eb14434fddaea5fe6389c56f42.mp3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/a63e0448fdcf4c62b527dd7d2fe79f23.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/a63e0448fdcf4c62b527dd7d2fe79f23.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190727/49b04cf6b95046ebb13c5feb917fb0ee.mp3,2,3,2,1,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190104/4ee9101871574dd99f1cdd83acf7a4be.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190117/27e224c6c110478fa82092e5ad693303.mp3,3,3,3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/7c25497382284e71bcc05b9a2e4d650e.mp3,2,3,3,3,2,1,2,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190727/49b04cf6b95046ebb13c5feb917fb0ee.mp3,2,3,2,1,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190104/4ee9101871574dd99f1cdd83acf7a4be.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190117/27e224c6c110478fa82092e5ad693303.mp3,3,3,3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/7c25497382284e71bcc05b9a2e4d650e.mp3,2,3,3,3,2,1,2,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190603/eb09a5f8ec274b85a15c36bfeb95b24d.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190603/eb09a5f8ec274b85a15c36bfeb95b24d.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/0db935c88ade4b1dad7c5639d025889b.mp3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190717/f6f0b5a843ea4b708b9167d5f037a158.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190224/2e43b5e3845c4cf08f2c776769d473c5.mp3,2,2,2,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190211/d9c84b12aa6b41f5ad59fec3196d4366.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/0db935c88ade4b1dad7c5639d025889b.mp3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190717/f6f0b5a843ea4b708b9167d5f037a158.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190224/2e43b5e3845c4cf08f2c776769d473c5.mp3,2,2,2,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190211/d9c84b12aa6b41f5ad59fec3196d4366.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190429/9939a388239a467e9872cf6987ab7200.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190429/9939a388239a467e9872cf6987ab7200.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191112/ad119b5fce174d38ad493caedebffc38.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191112/ad119b5fce174d38ad493caedebffc38.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190312/897902e183c04e70b99b8bfb66c29189.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/4a601f25bad14cc592f7b3a9dbef9273.mp3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/9f6a087f97a346629145689006fca883.mp3,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190312/897902e183c04e70b99b8bfb66c29189.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/4a601f25bad14cc592f7b3a9dbef9273.mp3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/9f6a087f97a346629145689006fca883.mp3,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/132109a91e6c44b0bb545fdc8f8240d4.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/132109a91e6c44b0bb545fdc8f8240d4.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191202/e3deb275865c4493b1be51660efa8d1f.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/8540bcd0e12f4f66829442f3a3d54f0b.mp3,3,3,3,3,3,3,3,2,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190503/3f4fff8d3f9a4a52bf37c1451dad8404.mp3,2,3,3,3,2,3,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/86c4cac8ee624a60952c19e4308bfb59.mp3,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190925/f9e74f3a9790442399e26721662dae63.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191202/e3deb275865c4493b1be51660efa8d1f.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/8540bcd0e12f4f66829442f3a3d54f0b.mp3,3,3,3,3,3,3,3,2,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190503/3f4fff8d3f9a4a52bf37c1451dad8404.mp3,2,3,3,3,2,3,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/86c4cac8ee624a60952c19e4308bfb59.mp3,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190925/f9e74f3a9790442399e26721662dae63.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191119/c9256625ec3e43f194e16795423e8303.mp3,3,3,3,3,2,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190726/c411cd3ec56d4411b56ef3b603a4195e.mp3,2,3,3,3,1,3,3,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191119/c9256625ec3e43f194e16795423e8303.mp3,3,3,3,3,2,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190726/c411cd3ec56d4411b56ef3b603a4195e.mp3,2,3,3,3,1,3,3,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191030/aea907fa39fb44cca9deac669ed86bfc.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190811/0718a89ba6454777bac705672c5a6b92.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/b5fc9549730d4bf19bd3e14a0b0b7845.mp3,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/a585120880c84c9a87c7c7f34f3be3f2.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191030/aea907fa39fb44cca9deac669ed86bfc.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190811/0718a89ba6454777bac705672c5a6b92.mp3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/b5fc9549730d4bf19bd3e14a0b0b7845.mp3,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/a585120880c84c9a87c7c7f34f3be3f2.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191213/8fe6449f5c014b639456596839edf770.mp3,1,2,2,1,1,2,2,1,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191214/9223874465ac41f89d424100c9a0b116.mp3,2,3,2,2,2,2,2,1,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/c0a05c2a38b847449fb157c0b3accde9.mp3,3,3,2,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190507/68240989aed44057a02ac4b592b6b938.mp3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191213/8fe6449f5c014b639456596839edf770.mp3,1,2,2,1,1,2,2,1,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191214/9223874465ac41f89d424100c9a0b116.mp3,2,3,2,2,2,2,2,1,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/c0a05c2a38b847449fb157c0b3accde9.mp3,3,3,2,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190507/68240989aed44057a02ac4b592b6b938.mp3,3,3,3,3,2,3,3,3,3,3,3,/
