audiourl,overall_evaluation(level: 1/2/3),HIS,WIFE,"SAYS,","""NO",PROBLEM.,BUT,I,HAVE,TO,FIND,ALL,THE,MONEY,YOU,HAVE,HIDDEN,FROM,"ME."""
https://mtutor.blob.core.windows.net/system-user-audio/20180908/f8eeb95bb8a94f4c8d71b25aa8dd1149.mp3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/57dd842652864744aa955ed4192f2c40.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/c96fb0947ae745769d0657352ec1169e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/c5079a3bed044c28a24c1a149505ad07.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191211/b2c876a83789401492f58e7c785c729e.mp3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190617/143cb742a95c4a19932011d6bad7c72b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191121/b283ed3cb800408d93e434a9c8c2e1d1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/7b3bfb621f654728bcc51a239de58ddd.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181109/d29607adaf464d37a39cf2b97a1af407.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/e4012ce97a7c45dfabd3fe45bb4b0c6c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/e83117eacc404661a24944d0fc182768.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191108/71c3afa139c04be59de3e498ddf394d7.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191103/46192916fec649b18cdcd5f16dc63179.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191103/c63fba1067ed400ea3a561018f0e2307.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191103/f80a781cd539442cb9496f9c782ad960.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/53d80b52f3ce47d49e341c9ecb1542f3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/f494b3e5529749fc8b1273a2aa5d81b9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/5a921176c8604ee684281906938e104e.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/37c75acdac9a44a5b0a6bb498c0a121c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/980609ca6c744260a5352d1b9b074646.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/706babc414604469ba977aa94173addc.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/90ef5d98ad7d478ca1363a43641c107b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/a68bb45871bc4fcbb41ce2505fdafbb6.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/2768d9f1ccbc451e8050f1fd8a5168e9.mp3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,/,2,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/26e444680cc14d949bbafe2db4e04b52.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/56561980ebd84f86bd64c4ca9ac49288.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/00ffb07b1c3b4f5d9fcede0f2afcf396.mp3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/15be338faf91480fb3f0cabf075e23fd.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/f95ee2978df24a5eb8593ab599f9d0e8.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/3b37293dfeb742e08ca507a9310ae15c.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/86008fd101ee49ed9e70a057d7f412e6.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/e93e1712313f43f884c28304db887545.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/a4adcd24f41b48a1a2c0a01ce4833f24.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/70b0f4968ebc4c5da1e971cc1e9dc494.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/777bebf0a3714bd9925185b413416757.mp3,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/b3999d91e3a84a1986e47e06bfc7b524.mp3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/f71ac630eb37461ca7e8ab371da6bb64.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/86e789e1585b4d3e9c10244ae18f9422.mp3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/5c2c33b1241e4f028cbeb5d004235cb8.mp3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/92b71c4074d74bfab9af791ba795dbc1.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/dc704b8f01c04981b875e0e8dc08a2bd.mp3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/c5e262151b33465cb2ae5ed28a5d14bf.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/b456f72d51224bd5aad643d1da2763fc.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/80e43aee8a7c4a63a612947611301ea1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/d3f223fab2314dd0934242fb405e2217.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/3ed5e41ae67e4c8fb343911d52cb856c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/cd290d830ad542d0af15963e3a84be4f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/13aaffb1cbc54837868681e66ac24f65.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/b0c57c4c07344494a8de196613b7d16c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/25de1d7ed90b476680f3755327cd2796.mp3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/39b96d0199e841e4a517bec2a8f64f51.mp3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/91c4ec44b2ff4c12869e0e741cf2eae5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/1cfc06d5681e4bdcab8529708573c406.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/2f3086453a19476faf20f5c7f7014fa5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190902/fac86af6ceac494f8bcc79cf2f9d8b17.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190926/8f2f8d4d0f9c411fa56963e48b3b4e22.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181129/261cc6912e524de78f12117f1a87b62d.mp3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20181204/3e18ed4e2a764ae98c379e53fee1d307.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181204/e15494a944054e8db3e14c6b1e33e7c0.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181203/1177067d412147609c6066793eb04f9f.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180523/a7963bc51a394a4ebe37c9fc1b5f8372.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180523/bdc720bca06e4f7d9d7f1a2aebf80de2.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180523/a4a1448b47114485aa83422e2ded66e3.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180523/6c5d084868934911bdc62ac616aaeef2.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180912/defefa3c3baf4ae488ca92e442fcd326.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190724/abf54f5613574cd9b2ad44a2b1eba0ea.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181029/2e4684c574e8451ea817d08ab897d7c5.mp3,2,2,2,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191119/2f53fe8f95f944ddbd174ff68331d3d8.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/941b848c6fff4f85b878f2ae8689066b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/03c5a33d506842fb922a7859cd75b3e9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190505/244e87a334954586996b4737dbe8b8e7.mp3,3,2,3,3,3,3,2,3,3,1,3,3,3,3,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191207/85ed2cd5b8594ff48a67852ab3f13728.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181119/1f0e74d8b0fd4f8fa5c51726cd7eb748.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181012/f5751febf7004d0d9f93443971f736d4.mp3,2,3,1,3,3,2,3,3,3,3,3,3,3,2,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181114/5a14dabf77f147acb00a484b1ba28108.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181030/5a8430c509734d31951d94607c980ec6.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181119/20e6cdab6fab40ea831426a1d5481789.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181030/216764e1f1bf406e883e927ba492733d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181030/7e2cc3c8223b47e6ad04f389813bb12a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181030/f221486d4e16442182626a12b7409b2b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190914/1bfc53bf8d444255813fdf390b660cd9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
