audiourl,overall_evaluation(level: 1/2/3),CINDERELLA,DANCED,SO,JOYFULLY,THAT,SHE,FORGOT,THE,TIME.
https://mtutor.blob.core.windows.net/system-user-audio/20190104/34843e3bbd9a49e49ab0230c54c7512e.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190609/4b09f5c0841248a4a51336e535e8c297.mp3,3,3,3,2,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190104/34843e3bbd9a49e49ab0230c54c7512e.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190227/9829738164784ae8ba03677dc6071f75.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190723/c11aedba7e4f492ea9ee371c88178220.mp3,2,2,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190227/9829738164784ae8ba03677dc6071f75.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190723/c11aedba7e4f492ea9ee371c88178220.mp3,2,2,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190604/2757b6279e6e461a9955502d7ac83442.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190604/2757b6279e6e461a9955502d7ac83442.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/9a51f6c9ae2f4b59a600de73c4e40bd0.mp3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190707/2a847bec5e3d4faaba06f51fec4670b3.mp3,2,3,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190410/249035e6fea54b06a8195d059bc1fb82.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/9a51f6c9ae2f4b59a600de73c4e40bd0.mp3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190707/2a847bec5e3d4faaba06f51fec4670b3.mp3,2,3,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190410/249035e6fea54b06a8195d059bc1fb82.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190302/ba8792185f004d3692d25d1d682079d6.mp3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/d7c3b0aac4b44bc894637c16c7a9a5fd.mp3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190220/b7711e00c4354940b160e3c3e1eb20e7.mp3,2,3,1,2,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190412/cf86e5964cac474fbaa754a013bde911.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190731/b48ff8339b544bf2ab7757db7d4d6e12.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190620/b09c4029b021429396552b2d39dc8ea3.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/9b4f34c62c524362badbf86011192b90.mp3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/c2618f07d2d6449ca8da0d434fd91755.mp3,2,1,3,2,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190302/ba8792185f004d3692d25d1d682079d6.mp3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/d7c3b0aac4b44bc894637c16c7a9a5fd.mp3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190220/b7711e00c4354940b160e3c3e1eb20e7.mp3,2,3,1,2,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190412/cf86e5964cac474fbaa754a013bde911.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190731/b48ff8339b544bf2ab7757db7d4d6e12.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190620/b09c4029b021429396552b2d39dc8ea3.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/9b4f34c62c524362badbf86011192b90.mp3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/c2618f07d2d6449ca8da0d434fd91755.mp3,2,1,3,2,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191005/b53e80d46b394220b40c9aa2e1f9200c.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191005/033e84e8928447d9af97f2f5e8d06412.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191005/403dc7d232a84c23b69070eac1577c14.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/ad2f05adcf22440caa57f2d6b7bfa199.mp3,2,2,2,1,3,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191005/b53e80d46b394220b40c9aa2e1f9200c.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191005/033e84e8928447d9af97f2f5e8d06412.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191005/403dc7d232a84c23b69070eac1577c14.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/ad2f05adcf22440caa57f2d6b7bfa199.mp3,2,2,2,1,3,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190131/a58ebb682c274f1abf897bc8e5c34807.mp3,2,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190225/04d50af620da4f5396b8e36ea6f5aaa5.mp3,2,3,2,3,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/f1c97d65328344448c36b6c67404d0dd.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/6c6d1aaa6b8f4707838659dfca25bb18.mp3,3,3,3,3,3,3,3,3,3,/
