audiourl,overall_evaluation(level: 1/2/3),THE,FOLLOWING,"WEEK,",THE,SAME,POLICEMAN,SEES,THE,SAME,MAN,WITH,THE,TIGER,AGAIN.
https://mtutor.blob.core.windows.net/system-user-audio/20190729/25c7b442a6b2499eaf53e31a4ef0c532.mp3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/86a1245fd3414bbe950eafd59dc89f6b.mp3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/0f3df0d7301943ad87de32b36ea685c1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/47c814456fd44ae5a31d2135ea4fe720.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/c0aefd3ad5e345d49d6cff6ad0b854ed.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/46655a0e94764d1bb8ff1a9c387d2761.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/25c7b442a6b2499eaf53e31a4ef0c532.mp3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/86a1245fd3414bbe950eafd59dc89f6b.mp3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/0f3df0d7301943ad87de32b36ea685c1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/47c814456fd44ae5a31d2135ea4fe720.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/c0aefd3ad5e345d49d6cff6ad0b854ed.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/46655a0e94764d1bb8ff1a9c387d2761.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190501/6ab48e1f86854343b8e6c7bf9b4730f8.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/6e295dd24bcf4e02bfda84d1d44312ec.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190914/a6b80ce3755a47abaffd1734037f1dd3.mp3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190501/6ab48e1f86854343b8e6c7bf9b4730f8.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/6e295dd24bcf4e02bfda84d1d44312ec.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190914/a6b80ce3755a47abaffd1734037f1dd3.mp3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/50ed20ab19db49bd9c6847104d0eacd2.mp3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/564db24af3f245a7a8dc8e2f5cc3d52b.mp3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/824207ffe95645dd828fa0533b3cc037.mp3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/d98d601cf1e54e02ba7aa30fb264a4d3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/3c89bcc392924289990741412b83140a.mp3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/dbb4ddec7d694f109e80f232db2a6fe7.mp3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/0a97605fb0b0441a8aab66cfee76003a.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/9287ce6eeb0144a7952ced9725c75036.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/6f5fc97d135a413ea513da9637e946ed.mp3,2,3,2,2,3,2,3,3,3,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/ace34a090fc4457388c7db415832c9c3.mp3,2,3,2,2,3,3,3,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/cc84dec8c61d4b3c90b3c0c8128cbd1a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/5b8d7486824b46bf855f9c6574ec5bca.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/2d15bd94d8e14c3fae615984137d288c.mp3,2,3,3,2,3,2,3,3,2,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/b19bf8e8a60346a5a76b1f0e5179a255.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/f3434c0cd99e422995233f2103df0002.mp3,2,3,3,1,2,2,2,3,2,2,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/c7dd52260a5945549bc62586c3585bb8.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/40004229c7554a7b84bf2f6cdeaf95b4.mp3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/3b90c08b8dce46c69959786190c15aae.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/b4d38466a37742268926b2ddacbeba41.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/57d86a9d0e6249a8adb1b0e71ae77c3f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/b7bdac82b7d14fb08ee24e2efe321898.mp3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/d799e209d9e5402dab4fd8b5ace2722f.mp3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/ea1c980bd7ab4e30bc15f97b01a97bda.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190130/dbef68208bdd42869e4cc083412e1ad7.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190130/6eb7d17cb69144e49e03c977c65ae7a9.mp3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190130/9c75243d20a24f6095dcdb03dd834312.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200105/36d21ccdff27403788176d4ef546b9a1.mp3,2,2,1,2,3,2,2,2,2,2,2,2,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190909/0556eb6e404341e5b5593ae79b1fbda7.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190909/39e13b2dc3bb49e494e0fc5a3b32b297.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190908/909453f0acdd4fd5881f20c0bc3963d0.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190909/3886d938ac20427aba899d350f09fc56.mp3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190909/1c25ef6e602c42409392f9080cd530fd.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190909/2f278cacfff44a208308da8a5ce04362.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190909/b8a87a476be64a30a45ebbee2b7f64f6.mp3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190909/4cb7c70618904c37ae983f5564237204.mp3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/50ed20ab19db49bd9c6847104d0eacd2.mp3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/564db24af3f245a7a8dc8e2f5cc3d52b.mp3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/824207ffe95645dd828fa0533b3cc037.mp3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/d98d601cf1e54e02ba7aa30fb264a4d3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/3c89bcc392924289990741412b83140a.mp3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190929/dbb4ddec7d694f109e80f232db2a6fe7.mp3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,/
