audiourl,overall_evaluation(level: 1/2/3),THE,FROGS,IN,THE,POND,WERE,VERY,AFRAID,OF,THE,CHILDREN,BECAUSE,THE,STONES,KILLED,SOME,OF,THEM.
https://mtutor.blob.core.windows.net/system-user-audio/20190715/d484fcd7fb374a2ab3aa37306016612e.mp3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190130/e7d5f2605b4746a9b56ffaaf43a559f5.mp3,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/7d1c415fad054a67a73120e106bce81d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190523/0718e797a17d42c8bcfc9c3b34947898.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180705/fb2b1f28ed2244c6af57d0e85ad69062.mp3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190218/7bbd61ae590942719557ade1caec984b.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190224/08618b5a6d2c411f862c393e8f164bd4.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180823/741021e7354b4441bb863f317781259a.mp3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180911/8dcc5004f8a14af08e9729323fd51ed3.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190904/d9ea173e18894b35aa3c1c0f76add24f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180528/307352089e0a4c10b9d907340ae267b8.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180807/e7e56b035e4d4c83a8460529cd7b6b14.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190807/9d3aeffd2b6f494f98fc28a422e7fa0e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190327/35c8fb3c56744e5db8323d912c641836.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190105/811e57b779c7420da3ecee6b6bf93d41.mp3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190819/d8f5e31137dd4634bbc146d2215c0c03.mp3,2,3,1,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190414/1a2155f048594ee69dd4462a9e36cf2c.mp3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190414/52b8d9b7e37f45dbbabed08425d0656c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181111/0df866f62d554aae9816cb806cd7857b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181004/011aae1c807244cb886a3b41eb014f65.mp3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190202/1ef38082319b4e7696f382264d879b13.mp3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180705/82e157cec4cc4361938f7c418a044adf.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
