audiourl,overall_evaluation(level: 1/2/3),PLENTY,OF,COMPLICATED,THOUGHTS,ABOUT,THE,RAINBOW,HAVE,BEEN,FORMED.,
https://mtutor.blob.core.windows.net/system-user-audio/20190708/c156534b43c945c1994e755bbbf2efc7.mp3,2,1,2,3,3,3,3,3,3,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191222/fbdb2086a39c49c0bd54cd625e0d5214.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190623/7f6d74d4442c4e8faaf9ee181c3d21e3.mp3,1,1,2,1,1,2,3,3,2,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190805/d024152d785b446ebdefdc1314d30191.mp3,2,3,1,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190428/655fc3d0b81b437280c64d96e750ac8f.mp3,1,3,1,1,2,2,1,1,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190623/7f6d74d4442c4e8faaf9ee181c3d21e3.mp3,1,1,2,1,1,2,3,3,2,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190805/d024152d785b446ebdefdc1314d30191.mp3,2,3,1,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190428/655fc3d0b81b437280c64d96e750ac8f.mp3,1,3,1,1,2,2,1,1,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191226/b4a9cf0cd57041fbae590a19550f2056.mp3,2,3,3,2,3,2,2,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190126/982ea074554e400fbbe18f20f5ee765e.mp3,2,3,3,3,1,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190316/3b6a77f608c6450a8b4462a84baf93ca.mp3,2,3,3,1,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190421/f65b0d413f0f42d5b17c389fd692d2f5.mp3,1,3,1,2,2,2,2,3,1,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191204/29bc6b84b9c64c18add1f1840b4f0dd4.mp3,1,3,3,1,2,1,2,2,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191226/b4a9cf0cd57041fbae590a19550f2056.mp3,2,3,3,2,3,2,2,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190126/982ea074554e400fbbe18f20f5ee765e.mp3,2,3,3,3,1,3,3,3,3,3,/, 
https://mtutor.blob.core.windows.net/system-user-audio/20190316/3b6a77f608c6450a8b4462a84baf93ca.mp3,2,3,3,1,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190421/f65b0d413f0f42d5b17c389fd692d2f5.mp3,1,3,1,2,2,2,2,3,1,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191204/29bc6b84b9c64c18add1f1840b4f0dd4.mp3,1,3,3,1,2,1,2,2,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190719/bf61a058db8c443c919470d42b7e3fdf.mp3,2,3,1,3,2,1,2,3,3,3,/, 
https://mtutor.blob.core.windows.net/system-user-audio/20190930/8c431ee7600640e291a84fb05a094d75.mp3,2,3,2,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190719/bf61a058db8c443c919470d42b7e3fdf.mp3,2,3,1,3,2,1,2,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190930/8c431ee7600640e291a84fb05a094d75.mp3,2,3,2,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190216/d20d5ee899094232accf8dc4b0b67ebb.mp3,1,3,2,1,2,3,3,3,3,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190216/d20d5ee899094232accf8dc4b0b67ebb.mp3,1,3,2,1,2,3,3,3,3,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190404/d313ddb607794516814c3091e435af50.mp3,2,3,3,3,2,3,3,3,3,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190921/4f5884b21a124302aa3b5198965b761e.mp3,1,3,2,1,2,2,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190703/18260f86baaa46a583bf40be4311d36d.mp3,1,3,2,1,2,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190404/d313ddb607794516814c3091e435af50.mp3,2,3,3,3,2,3,3,3,3,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190921/4f5884b21a124302aa3b5198965b761e.mp3,1,3,2,1,2,2,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190703/18260f86baaa46a583bf40be4311d36d.mp3,1,3,2,1,2,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191223/1e09ee7d41c94c69a899a540ebcf137d.mp3,3,3,3,3,3,3,3,3,3,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190415/6d24dc2a592e4f29a6f177b8491b9890.mp3,1,3,2,1,1,2,2,3,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191223/1e09ee7d41c94c69a899a540ebcf137d.mp3,3,3,3,3,3,3,3,3,3,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190415/6d24dc2a592e4f29a6f177b8491b9890.mp3,1,3,2,1,1,2,2,3,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191024/e59a0fa5913948838015992c14f9b4cb.mp3,2,3,2,1,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20200110/e4f19f410dba44f99af88c98c049944e.mp3,1,3,2,1,1,1,2,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191024/e59a0fa5913948838015992c14f9b4cb.mp3,2,3,2,1,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20200110/e4f19f410dba44f99af88c98c049944e.mp3,1,3,2,1,1,1,2,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190316/a847a12fae3e470997dbc515b42c2e41.mp3,2,3,2,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190512/64aecc4497d947ad97e3a673133ee805.mp3,2,3,2,2,3,3,3,2,2,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190316/a847a12fae3e470997dbc515b42c2e41.mp3,2,3,2,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190512/64aecc4497d947ad97e3a673133ee805.mp3,2,3,2,2,3,3,3,2,2,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191231/5bc6acd00bc64270851641409b118eae.mp3,3,3,3,3,1,2,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190403/35bd33b466e948799b7c7446b422533f.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190402/9d5fac9b76184fe5b3fb144ed5ba1c45.mp3,3,3,3,3,2,1,1,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191231/5bc6acd00bc64270851641409b118eae.mp3,3,3,3,3,1,2,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190403/35bd33b466e948799b7c7446b422533f.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190402/9d5fac9b76184fe5b3fb144ed5ba1c45.mp3,3,3,3,3,2,1,1,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190203/2195f16db65c43b5aee65b3ba9859953.mp3,1,3,2,1,2,3,2,3,3,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190203/2195f16db65c43b5aee65b3ba9859953.mp3,1,3,2,1,2,3,2,3,3,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190409/214f10f8b0264952815d8b7858035da3.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190408/0032cb2358564da9b91d68de16c4d0a0.mp3,3,3,2,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190316/7319f18cb3234726a570c7d88b724a01.mp3,3,3,3,3,3,3,3,2,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190217/f086e4cb27b94f9b93bdb3a6c694e985.mp3,1,3,2,2,2,2,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191109/4b75fa2031904102968cf8003e30f302.mp3,2,3,2,2,1,2,3,2,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190323/caa69122bea642c8ac22f0d6887e4db9.mp3,1,2,2,1,2,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190806/6b81aaf2b01b4a53b17873cf5689dd0d.mp3,1,3,1,2,3,3,3,3,1,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190409/214f10f8b0264952815d8b7858035da3.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190408/0032cb2358564da9b91d68de16c4d0a0.mp3,3,3,2,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190316/7319f18cb3234726a570c7d88b724a01.mp3,3,3,3,3,3,3,3,2,3,3, ,
https://mtutor.blob.core.windows.net/system-user-audio/20190217/f086e4cb27b94f9b93bdb3a6c694e985.mp3,1,3,2,2,2,2,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191109/4b75fa2031904102968cf8003e30f302.mp3,2,3,2,2,1,2,3,2,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190323/caa69122bea642c8ac22f0d6887e4db9.mp3,1,2,2,1,2,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190806/6b81aaf2b01b4a53b17873cf5689dd0d.mp3,1,3,1,2,3,3,3,3,1,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191221/2035dd113ef6488ebe9979eb1cdf60c3.mp3,无效,,,,,,,,,,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191030/22100156c11c42798dd57f2b45df1d40.mp3,1,3,3,1,2,2,3,3,3,,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191221/2035dd113ef6488ebe9979eb1cdf60c3.mp3,无效,,,,,,,,,,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191030/22100156c11c42798dd57f2b45df1d40.mp3,1,3,3,1,2,2,3,3,3,,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190215/bcc3dc8b0c904d2783c596eea14353af.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190221/d93c9132b11c40cf9b1cdb1f6363527c.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191212/2acf0587a749469d858a581d4c4d6a3f.mp3,2,3,2,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190215/bcc3dc8b0c904d2783c596eea14353af.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190221/d93c9132b11c40cf9b1cdb1f6363527c.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191212/2acf0587a749469d858a581d4c4d6a3f.mp3,2,3,2,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190703/0f0a80ac733c49af9f768eb10d2a383e.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190703/0f0a80ac733c49af9f768eb10d2a383e.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190103/c586c8e909df4a7eae7ee859ebf23df8.mp3,2,3,2,1,2,3,1,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190328/bafe24f1ba7241969d80b3e019110187.mp3,2,3,3,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190208/e3748eb008f74045b6666ab34c1c4e3a.mp3,1,3,1,1,1,3,3,2,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190103/c586c8e909df4a7eae7ee859ebf23df8.mp3,2,3,2,1,2,3,1,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190328/bafe24f1ba7241969d80b3e019110187.mp3,2,3,3,2,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190208/e3748eb008f74045b6666ab34c1c4e3a.mp3,1,3,1,1,1,3,3,2,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190805/9a5dbd1ee90642ac9263e96fc9c932c3.mp3,2,3,2,2,3,3,3,3,3,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191205/e133c618b8f949118e7cf517d455f658.mp3,1,/,2,2,1,3,3,3,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190412/a89b283a242b4fae8c55ad35aa8e4add.mp3,2,3,3,1,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190805/9a5dbd1ee90642ac9263e96fc9c932c3.mp3,2,3,2,2,3,3,3,3,3,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191205/e133c618b8f949118e7cf517d455f658.mp3,1,/,2,2,1,3,3,3,2,1,/,
,,,,,,,,,,,,
,, ,,,,,,,,,,
