audiourl,overall_evaluation(level: 1/2/3),UNTIL,THE,FOX,THOUGHT,HIGHLY,OF,THE,CROW'S,BEAUTIFUL,"VOICE,",THE,CROW,FELT,QUITE,PROUD,AND,FINALLY,OPENED,HIS,MOUTH,TO,SING.
https://mtutor.blob.core.windows.net/system-user-audio/20191030/7756afb8c13646f09a7fef83bd26cca5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191030/fe3350ed4cf24550884eeb87df535c86.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190610/eac1a69883904933a49c780873be8b93.mp3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190610/25200c594b654bceb51924ded6c6e1af.mp3,无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191225/eda7fba4a02a49d498fb74c4b7c43fa2.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/f16214f3cb16413898c9e334ce90a92a.mp3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/db2fca9734c94380a9ad2d6cd474a791.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181020/3d6e94457381470e99caa40f5e27db1c.mp3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180719/2e7cab3076724cb382ef8d5e4971ad3c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180928/dc509b09f1524a7ba47ae2bff6ce9bed.mp3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190615/dd75ee9a47f74689a207a8b3db042cd9.mp3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180701/45bea5cafe63474c819bba9422892d4c.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180627/1460932f17944124ba7e13b35628ae27.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190904/6b67d6f49c184cea935e35a85513ca76.mp3,1,3,3,3,3,2,3,3,1,2,3,3,2,2,2,3,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/a13d2ec62dc04d739acf547e9dd8429f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190922/46785918c23f4026a69aceb10298dfb7.mp3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180702/3014c41aba0d4b4f800debcbf026b41d.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/ff7c9d2696ab49f68d5532abfe0977ef.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190113/0af77d3735ea4d3e9ec073c51dc0e2f0.mp3,2,3,3,3,3,1,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180810/1408a08b94d047a49c76232585abb083.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180812/b9e9b79cd0ad4959a30d73e9d1c214f5.mp3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190422/8625f84265ba49a4b957b7a33a49facc.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180502/f2e808d38ad14ff5b659200520271cc1.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180610/20296281aff04a398878a2ad80967f73.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180811/2d39764a69284eef9c6fd187dd9c727d.mp3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180717/ec98c24e7611456fbfc5fbf07d14b15e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181111/9b7a4fe3f2cf44478b88466f0945f0e5.mp3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180825/0d6d941bc3d14c01b8a0ee0dfe8045fd.mp3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181011/bbd61c27ca234c3bab7500f6bfd7c55f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190107/56e66395d1c64bb8b4ecb82be70a70cf.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/7376d5649dbc4b43babf65122ab7c352.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/0118aedf83784e479303e310668001a2.mp3,无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190915/24ffc167abb14dc2ba3c5a92f2fcc2e8.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190321/d1a794c4046847ed91b2bfedbcd982aa.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180705/57ee31f2bc5f454f91241647263468ed.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180817/4ddf4540b3504993b8ac8cb01c277082.mp3,2,3,3,3,2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180911/6fb5a345c04146b986eb955d6398fa85.mp3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180708/65051ff1ecfc41aaad2ff121d9c56c9f.mp3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180518/3fef68ef73674cea8ed371afffedb0a0.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/0bcdd7cc5c324df180440b34f07c233e.mp3,2,3,3,3,3,3,3,3,1,1,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/abb5b0ad8b8344f7aec173a13406ee0f.mp3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181015/6422eb28ad904b87b0f45df534d08729.mp3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180907/c8e18ee4b12a4554a1427671ff647f7b.mp3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191118/aefb7f0edd7f40b182497bf4cbe50c57.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180515/52da06c76f294f3f98081df2f9bca1b8.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181028/d737ef7232224789be8778552db5865a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/875c1089a0904bddb1de58f2e5a675d0.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/53f1a7ebbf154527adff8dbf7b7ab56d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190808/4c8659fdc34845d1b52ee410564c9330.mp3,1,3,3,3,2,2,3,3,2,3,3,3,1,1,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190427/b7246a6be98443f6aa25b9b87846dab3.mp3,1,3,3,2,2,1,3,3,3,3,3,1,3,3,3,1,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/0ac3bc90f08348aaa7f916d5f293056e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190401/0a9c531fbabc43708b6ee726d592b075.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180816/3fa0761ab39648b49e2ce925866d9761.mp3,1,3,3,3,1,1,3,3,1,1,3,3,1,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180928/70c1c54295b146cd976d1c6e17ddbd97.mp3,1,1,1,3,2,2,2,3,3,3,3,3,1,1,1,3,3,2,2,2,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190320/d86b5f9ab2204b58b09a13035669cadc.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190329/5a501cc8a6b14c618ffd7fea8a469385.mp3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191124/a4295acc7c2a4477a8c96b5dc7837344.mp3,无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/c1e15cf004d24a129abebb8c49202a82.mp3,1,3,1,1,3,1,3,3,3,1,3,3,3,3,2,2,1,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180502/b86ea2c47c8c4b99916b6302bb72d304.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/a1c3aa0ea60b4f07822adce54882fb81.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/c18ebee680d342c1804c4505f6bd8d25.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181009/c32782f587bd42bb8536eed214ac1e25.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190308/4d58aa913d7547bc828bb0209813c8b6.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190331/fdc6563281b7471689dfcfacb403e331.mp3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190302/2d7a631d52dc43cf8ff4b0c4f05295ad.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180818/605be21dc8ee43bface6d0fbb0521aae.mp3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181125/01d0e44872de4c5690204b584ac6cf72.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181230/147edbb128744249b740e28955e19845.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190917/a99b5922b40e400582a0dca5f3968e56.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190917/a55cc1534e5a4c109609c19f4fc9b486.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190409/6ef49627c6db463b82fd99d13693704b.mp3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180718/b2575bac22854f869cd3e69208a7c929.mp3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181010/8237f41ad65c45909a9db0d17cb91332.mp3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181202/af2f68f94baf4f56923df394442d66e3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180629/7d54c45fae9f482a974df3ba151a6302.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180701/7ebedb4361c04721bb30bdde140e026a.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180803/fb267fa3b1c44366b0708de3dd677c74.mp3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191023/a6ecc3ca560541d3883c522b94b2d345.mp3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180611/6024b2038ba3496fbd8d46bd83cb8327.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180609/490cd738c3b440039c2596e79dadd19a.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190206/6f5319bf8c034761889a43ab2dc58504.mp3,2,3,3,3,2,2,2,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/3f023611e5034126ab469a71bdac035f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190816/f241899a85cc4322ae1d7c5bcbbc5c25.mp3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190928/eda35fff3b1a46639b3fb7cd482ac0fb.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190131/e8df10a432e5426cb4634c19a26899c6.mp3,1,3,3,2,3,3,3,3,2,2,3,3,2,2,2,3,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180623/bafdec74e3534a398c9b0a0bd2c34043.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180623/6b1f2d4bba7041abbda8467b35669772.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180504/b5f40ce9ede841a59264707897d3c817.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180805/479a631217d941fe99d8f2764da8633e.mp3,1,3,3,3,3,3,3,3,2,1,2,2,2,2,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190217/15ae74f69a804418bb1a94fbdb9826b3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
