audiourl,overall_evaluation(level: 1/2/3),"NOW,",CAN,YOU,GIVE,ME,A,FEW,WORDS,TO,DESCRIBE,THE,BODY,SHAPE,OF,THIS,GIRL?
https://mtutor.blob.core.windows.net/system-user-audio/20200104/4029aea470a948ef938ac73bf1e18e03.mp3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190313/8ab115c9afc64940a7561bfc983fb69b.mp3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181012/5f82367aaff745129c876784291265b4.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191103/f01fc3faa2654eb8af8ff1ac59c5251c.mp3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191028/57213c6d3b934bfda0b2a6d65def71ab.mp3,3,3,3,3,3,3,1,1,2,2,2,2,1,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190414/613b854409fc47fbb8a7f69a33be2cbc.mp3,3,/,3,3,3,3,3,3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190414/70dde34c39084c30a1571d107328e4d0.mp3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20190414/5da7748ffac14eff8fee1cea6f9c6ecb.mp3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190414/4bcf62d47b5e481ab30207aa9d5ae953.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190414/d364b7149344473ab1bbf70406d1942f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20191109/5ac50fa1ada44a6a8a96e3be22de3ded.mp3,3,2,3,2,3,1,2,2,/,/,/,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20191109/d3a4977b67434f5496ee66927304a721.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191109/fd9afcb626a64c56881b72865974e447.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191109/004c7b64be474512a949f33ad36f70f7.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190118/52880c9e7c2d442a938a313dab47408e.mp3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181018/ee34ee5107f44c43a0598011830d4876.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180924/06a6e80f6c97497b97a1e03092dd1420.mp3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/53c6f3b39f61464295003cdc48893f4b.mp3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180924/aa31caebbf6741bd8d6819dc29b76aaa.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180924/38b6a6c14089420ea49e2151f6409750.mp3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180924/e97fb44075b8432ea07328d0fd68340c.mp3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/519da5922c5c4bbdbb8f5511098f5e26.mp3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/de57a19cf83e48ccaee8394b89561b18.mp3,3,3,3,3,3,1,1,1,2,1,1,1,2,1,2,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/827bc1ad1eec44129d27ffefb7116bb2.mp3,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190923/da4af60f9e44446b95c08343e7ae19ee.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190923/98e86a7767aa4c60b880c6cd9a2b0fee.mp3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190923/352ffcb43c114219b22d5cebbc342054.mp3,3,3,3,3,3,3,2,1,2,3,3,3,2,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191207/15d9f088492849ca88930790224b2a39.mp3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20191111/dae3d7c3cc7a4b868d2b03f6b0a6f276.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191111/0542598d828b405c823a23486ef58d28.mp3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20181008/ae2edc42071f4cf8ac2db6c3786711aa.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191003/a69b0d9e7c994a2fb12fd12326368aa7.mp3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181129/12634b803db0440ba423dee2f13a9c70.mp3,3,3,3,3,3,2,1,3,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20181129/56a834a220ec4fd19f328c8c724c3a77.mp3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181129/291d909b9f374df6a9be2c3c73f75298.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181129/23bcbe7a57bf4dd99bdefe764921263e.mp3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20181129/659b6c32e0ac4ecf88dc4b1275ba30ae.mp3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20181129/4b34b4c1259949e78a755017c445741e.mp3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/1b01eb7251b1492ba20dd05dc8d9de2b.mp3,3,3,3,3,3,3,3,1,3,3,3,2,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/0d068ba512f248fd82e30bafd3a0e076.mp3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/6fed4b3b091e497491ea03978c4f0b44.mp3,3,3,3,3,2,3,3,3,3,1,3,2,2,2,3,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/3420b60cd54c46aeb3e68e594532a4f8.mp3,3,3,3,3,3,3,3,3,1,1,3,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/778739ce4c934f48ba279f1ea47110a7.mp3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/863c7a84b2c844dea7457aaac42a5d4c.mp3,3,3,3,3,3,3,3,3,1,3,1,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/a3bb8ebe64ec42399fb4124cdc4797e7.mp3,3,3,3,3,3,3,3,3,1,3,1,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/ee3ff8da0e1e42449befd351cb382c6d.mp3,3,3,3,3,3,3,3,3,1,3,1,3,3,1,3,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/20a4ba27336245d68433141f4db696ef.mp3,3,3,3,3,3,1,3,3,1,3,1,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/dada5bef93f94e7296906935324e0106.mp3,3,3,3,3,3,3,3,3,2,3,1,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/e3589880b98448d484e3f0863b76e4ae.mp3,3,3,3,3,3,1,3,3,1,3,1,2,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/69df1f69719a46799e13832892bf59e9.mp3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180908/27e47fba949548a9936be01b36150db2.mp3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191108/ec327f45911a4814a886b342ab4d416c.mp3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191109/9982af499eab4e72b907b70ec63b8c3c.mp3,3,3,3,3,3,1,3,1,3,3,3,3,2,2,3,3,/
