audiourl,overall_evaluation(level: 1/2/3),THE,MAN,"REPLIED,","""I",DID.,WE,HAD,SUCH,A,GOOD,TIME.,WE,ARE,GOING,TO,THE,BEACH,THIS,"WEEKEND!"""
https://mtutor.blob.core.windows.net/system-user-audio/20190710/d1798a49ac284aa1843ef4cff288cbe1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190710/82929c7778a74e4caadfa90114fd032a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/a69cbe3bb6eb4bb1b29debd20034a39b.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180907/3ae13a16217f4ac9b47f7c815e49e4a4.mp3,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180907/c520300491d74bf18176c53b63500b48.mp3,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180504/066022e6a6e14d71b1d82e72612a29b3.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180504/951a1b56645e4030bea983450244b696.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191010/994f65ff634d432b924b80caa2867eb7.mp3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180702/bedbb0d9a5e54541ba1f56c122556e58.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180702/7c68640feef54a108d4acdd4981754ba.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181121/763311bcbba84502b8500c28f43628d5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181121/489767b884d94c0c9b40d834e2873b61.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181121/b40b3cc2c572460a94a44002f2371f52.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180718/180707a9b4a54cbcabcfaca9f8f9a6a4.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/e3c19cdb7feb480f8fed5c2f4764f030.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/83f5f723f91a48fa8ee00bdc63d169b4.mp3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/cb703da45ea34a7c889d333415d96b86.mp3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,1,2,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/8b24e2e740384988bd3c611f2d2af9fe.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/ca51a0aa89b24ecfa0bf25c0f3010ca8.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/536e72f2c6f74a75b63909487d16f48c.mp3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181227/26a3e2711c0a4cc892be43cc8ad7d501.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181227/6ad5b24d6fb54dc28a1286d762e754f5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/aebfb0d2af324561bed4ee5903e0b2e4.mp3,2,3,1,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190207/7bb10fa3aade43b1b1d1f05e960dd3c4.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190207/1c3882e206d74403a8e472f6062ab983.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180804/64c71ccf7c59427fb956eae4559aa5ed.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181118/42a305ca05f34686a20ce2f1474aa2b1.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190809/4702a5798fa941a595fb122c1ec374e0.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190821/4f070e82197747f8b25c35fbab15c482.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190712/ce2ca74d304b4f36a74cc60fde9896dc.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181226/cf0add92d34e4d38bc5ec755039dc27a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/06c7d6ebc37b4f77a55633068a8559ab.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/2f0001eb7dd241428cedb2ed0f93ad64.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/139530b4f5384c9d8479779528695ac1.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/11421dba059a44f4b536831188599f4a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/64de73ccdcbf4bd0addfb734e643375d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/3e979613959e4f80b71ce021b686117f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190418/af3cdbc3abdc4b518c877d952d3e4658.mp3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190821/f9c0f955e73340dca742d8a107027592.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180825/05fe959c8ced43e495129efe4da0c197.mp3,2,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180925/87c7cc6f3fae47b4a0119a42446c30c1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190306/a7475683cfa24131953a9f0fd0072048.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/377efb13e9d642f1b14b4f7525f3671a.mp3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/17632dc2016e417f95c6b197e2435886.mp3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190306/8a7ef4f9dcc74c6abd4db104506c3cf2.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/5efccc66e2c7474a960b00c44eeb8a7a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190311/8214120f86de4c05b078116cf6cde157.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190311/98c26b44aee84fabb35d4d7e1b6531d2.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180730/e3777e1759404e538aea81d365861629.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180528/b08e0340299c4bb78ea5e3ea698fcd47.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181201/ae96af2a3d2c4d98b630218a0d3d64da.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190831/b9fa3e5ae4764f938cdc3cc02079f6fc.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181111/6cd4993de113417eabee34314a2fe029.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180719/d051481a5f9b452a8e2dd807891489ff.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180720/6c2bb9eae5964ebdab9f15139ad1c8ab.mp3,3,/,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180720/8f831cb5f34f488c9ef4f6e30daa8a82.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180720/1018b2776e174245bbcacffdc9536c14.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200111/5a3fcb22729843758f80ce53b74532df.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191220/a7768a11439845f28b994443ee9fa1b0.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191111/67b52d1f205b46b2bcda1b2eb70f072a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180803/6f00a164935c47398d17780ab0ee1439.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190705/e03a284dc7d1410bb9ded294fb4e3707.mp3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190211/a00449a132994539be45eb3b1b4143bb.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190421/d66803dc0080472f9785b2f0a758c76a.mp3,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181116/24c62604f8114643b898cfd639431ae4.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181116/70cbaec26789478b8aa1d2495cad9df5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181116/14933e1eb8424b40bf9e58acf1f53f92.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/02804c02c0c94884b33b8f2237019285.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190228/552b02cebf9642d796a4d52f60825370.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190201/f5f588c3d8744c0f8c292959ed923e43.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181013/17f2efe4a00d4c758f2cdd79cff42b47.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181013/ab86a5e7582a44d5aabc660eb6509a5a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190412/733c93f270424351ab413aadad78d88b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190409/23ca9505787e4ed291a52e2a70e2771f.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191011/7460af10e63e4dfc89c43ce4f9df5ce3.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181118/edccee748aa74e70864e7d27e84eb48c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191211/d6e6ea80a4c44fbc99fbaa4c7acf64eb.mp3,2,/,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190620/5452b86bf7d141b780bc0e83380e17cf.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190620/490613238b954fcda0555e59d7619567.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181022/2cf15c44e2b94dc389dafd12cdd901b8.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191016/3b3dd0e2931f43e38b179f56d36bf37c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181106/89f6e2b74cce4787b8f4049bc03114be.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
