audiourl,overall_evaluation(level: 1/2/3),HIS,MOTHER,NOTICED,HIS,LEFT,SHOE,WAS,ON,HIS,RIGHT,FOOT.
https://mtutor.blob.core.windows.net/system-user-audio/20191021/1b890a042e7248209611f157025f1aed.mp3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190527/a1b2ea33fcc44feead0302d86c303c9d.mp3,1,1,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/7bb023f8c0c14b76a1381f9b2c4e8303.mp3,1,3,2,2,1,1,2,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/1044fbce0adc45d3a79a6998247399b8.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/00a0cb49d5f54b9bb125e538ebb96bd2.mp3,1,3,2,1,1,1,1,1,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190911/7c8862768ad447f9bfef96b657a5b333.mp3,2,3,3,2,3,3,2,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191129/2395dfee119a4363b174cb3f2df111b2.mp3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190905/e7b693fa66d848d5a39979477cf4415f.mp3,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190727/c7a6722a15914150abe2f90565e793eb.mp3,2,3,2,2,2,2,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/f670508077b2468c8524c1f0d5d546a9.mp3,2,3,3,1,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190216/25058c8217a64843b6efff56dcb854e0.mp3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191021/2c8db48af9124c33bd520224e52072e9.mp3,2,3,3,3,1,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191021/1b890a042e7248209611f157025f1aed.mp3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190527/a1b2ea33fcc44feead0302d86c303c9d.mp3,1,1,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/7bb023f8c0c14b76a1381f9b2c4e8303.mp3,1,3,2,2,1,1,2,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/1044fbce0adc45d3a79a6998247399b8.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/00a0cb49d5f54b9bb125e538ebb96bd2.mp3,1,3,2,1,1,1,1,1,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190514/c309a7ac369248ecab12af31c741a88c.mp3,2,3,3,1,2,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190124/72781cd8df0a49909c106103614ced8f.mp3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190202/6c9478e6d5f54a22aad8018783075b64.mp3,1,2,2,1,1,1,2,2,2,1,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190213/222e966b644a4958b6631cc7032a585c.mp3,2,3,3,1,1,2,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190329/10e0c22261434329b7257397c151ef93.mp3,1,3,2,1,1,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190427/cbf3182595c347d0bd83a5269c6b4f01.mp3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190321/ce90214ed6f240e1b7f0b679d2c3847f.mp3,1,3,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190321/bf634371e2f04213972ca1490ebe4d8e.mp3,1,3,1,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190127/5c956673a8a04b2a84875f9b3c6fba87.mp3,2,3,3,1,2,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/6b1d37251c9a47deb95a8cd2d4af2614.mp3,2,3,3,2,2,3,1,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/186827acc1bd44d9bfe8f34c7e124665.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190514/c309a7ac369248ecab12af31c741a88c.mp3,2,3,3,1,2,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190124/72781cd8df0a49909c106103614ced8f.mp3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190202/6c9478e6d5f54a22aad8018783075b64.mp3,1,2,2,1,1,1,2,2,2,1,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190213/222e966b644a4958b6631cc7032a585c.mp3,2,3,3,1,1,2,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190329/10e0c22261434329b7257397c151ef93.mp3,1,3,2,1,1,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190427/cbf3182595c347d0bd83a5269c6b4f01.mp3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190321/ce90214ed6f240e1b7f0b679d2c3847f.mp3,1,3,1,1,1,1,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190321/bf634371e2f04213972ca1490ebe4d8e.mp3,1,3,1,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190127/5c956673a8a04b2a84875f9b3c6fba87.mp3,2,3,3,1,2,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/6b1d37251c9a47deb95a8cd2d4af2614.mp3,2,3,3,2,2,3,1,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/186827acc1bd44d9bfe8f34c7e124665.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/cf0e5d7fa8484419bb07394e5d4dc3a1.mp3,1,3,3,2,1,1,1,2,3,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/765d2ba01fe440bdb7ff61c5496ae834.mp3,1,3,3,2,2,1,1,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190725/5f9f1a9c5e9c45ff991f073197c1a660.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190725/d2cf2555de8d43b8aaab4b19c0dc07ab.mp3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190417/dac60b94fe744d688aabb5d5a575d8d2.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190407/8e60de32e88045c499ea534bca8d7b0e.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190407/5c25e24961374689acf9d47696d7be41.mp3,2,3,2,1,1,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/66bc8077b69e423c99f81bacc440a6b4.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/985b35c1bb9f4051a7f71aea20112feb.mp3,1,3,2,1,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190227/15e3fe5cf918428094961ffd04279356.mp3,3,3,3,2,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/cf0e5d7fa8484419bb07394e5d4dc3a1.mp3,1,3,3,2,1,1,1,2,3,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/765d2ba01fe440bdb7ff61c5496ae834.mp3,1,3,3,2,2,1,1,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190725/5f9f1a9c5e9c45ff991f073197c1a660.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190725/d2cf2555de8d43b8aaab4b19c0dc07ab.mp3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190417/dac60b94fe744d688aabb5d5a575d8d2.mp3,2,3,3,2,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190407/8e60de32e88045c499ea534bca8d7b0e.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190407/5c25e24961374689acf9d47696d7be41.mp3,2,3,2,1,1,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/66bc8077b69e423c99f81bacc440a6b4.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/985b35c1bb9f4051a7f71aea20112feb.mp3,1,3,2,1,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190227/15e3fe5cf918428094961ffd04279356.mp3,3,3,3,2,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190613/70dd15806b594f23b1d4fdf484758411.mp3,1,3,1,2,2,2,1,2,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190613/23787ec3727542d1ba5de29b806796ff.mp3,1,1,2,2,1,1,1,2,2,2,2,/
