audiourl,overall_evaluation(level: 1/2/3),ONE,"AFTERNOON,",HE,THOUGHT,UP,A,GOOD,PLAN,TO,HAVE,FUN.
https://mtutor.blob.core.windows.net/system-user-audio/20190108/80f7117df0ab4198b6895b040a6419aa.mp3,3,3,3,2,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/602bc8459dbe450f88ed8ea822ae4561.mp3,2,2,2,2,3,2,3,1,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/2d97112ca0f749c49c10769c03bd2a68.mp3,3,2,2,3,3,3,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/e233e8da3baa4d3d8f7de7acb68a984d.mp3,3,3,2,3,3,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/80f7117df0ab4198b6895b040a6419aa.mp3,3,3,3,2,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/602bc8459dbe450f88ed8ea822ae4561.mp3,2,2,2,2,3,2,3,1,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190517/96dd6bd4019b4fed91b6d965336b2423.mp3,1,3,2,2,1,1,1,1,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190517/c2afa76877cf40cb944ff6455c440107.mp3,2,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190923/8c5e934a13b649508747887a262ebcec.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190517/96dd6bd4019b4fed91b6d965336b2423.mp3,1,3,2,2,1,1,1,1,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190517/c2afa76877cf40cb944ff6455c440107.mp3,2,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190923/8c5e934a13b649508747887a262ebcec.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190224/063b8033850b4a5aa687a97320e1471d.mp3,2,3,3,1,1,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190224/a13940573afe46f4a26110b6e787b3b5.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/818969f68e6c4f1383c81d2253716506.mp3,2,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190222/33994fb6b9bd4f9093b83aa30d1699a7.mp3,1,2,1,1,2,1,1,2,1,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190224/063b8033850b4a5aa687a97320e1471d.mp3,2,3,3,1,1,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190224/a13940573afe46f4a26110b6e787b3b5.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/818969f68e6c4f1383c81d2253716506.mp3,2,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190222/33994fb6b9bd4f9093b83aa30d1699a7.mp3,1,2,1,1,2,1,1,2,1,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/858c63261bfe4b579beb378056fb6433.mp3,2,3,3,2,2,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/858c63261bfe4b579beb378056fb6433.mp3,2,3,3,2,2,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191103/e975b65c4ec546ad86eab698657ae4b4.mp3,2,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190623/ab48625aab06407faa23ce552365b4ad.mp3,2,3,3,3,3,3,3,3,2,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190501/e655058518f64d52872c99abfac8572a.mp3,1,3,2,3,1,1,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190213/9cf0578d6fb0411f94ad0bc41e11d837.mp3,1,3,3,1,1,1,1,1,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190109/036fafb70aba436590766c5c32d86667.mp3,2,3,2,3,2,2,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190111/3b59b48d4a5d4c99b43884aef1b0729c.mp3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191103/e975b65c4ec546ad86eab698657ae4b4.mp3,2,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190623/ab48625aab06407faa23ce552365b4ad.mp3,2,3,3,3,3,3,3,3,2,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190501/e655058518f64d52872c99abfac8572a.mp3,1,3,2,3,1,1,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190213/9cf0578d6fb0411f94ad0bc41e11d837.mp3,1,3,3,1,1,1,1,1,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190109/036fafb70aba436590766c5c32d86667.mp3,1,2,3,1,1,1,1,1,1,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190111/3b59b48d4a5d4c99b43884aef1b0729c.mp3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190923/9a556923405c4b52bc2fc711c80899bb.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190923/9a556923405c4b52bc2fc711c80899bb.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/d0aa8615b7254d99a6cfa68ab87d4e6f.mp3,2,1,2,2,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190916/3f1d544e58a1441296224d2f656213f7.mp3,2,3,1,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/d0aa8615b7254d99a6cfa68ab87d4e6f.mp3,2,1,2,2,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190916/3f1d544e58a1441296224d2f656213f7.mp3,2,3,1,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/5b223cdbcdb043a8ae820c19b853e3b5.mp3,2,3,3,3,1,3,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191230/40b8f463aedc4a2aa1a177bf46134dda.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190824/70854b77f54743e1bc0b3e718ff1e73d.mp3,2,3,2,3,2,2,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190109/54d49ef8000b4a1bb1240afd40a66167.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190705/e74d9adc13e64282a760df34675cf8af.mp3,1,2,2,3,2,2,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190706/41806b6d4dc641d086d902b8cd37e472.mp3,2,3,2,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190704/482eb0e391de4bbf886b21670f9f658c.mp3,2,3,3,3,3,2,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/5b223cdbcdb043a8ae820c19b853e3b5.mp3,2,3,3,3,1,3,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191230/40b8f463aedc4a2aa1a177bf46134dda.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190824/70854b77f54743e1bc0b3e718ff1e73d.mp3,2,3,2,3,2,2,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190109/54d49ef8000b4a1bb1240afd40a66167.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190705/e74d9adc13e64282a760df34675cf8af.mp3,1,2,2,3,2,2,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190706/41806b6d4dc641d086d902b8cd37e472.mp3,2,3,2,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190704/482eb0e391de4bbf886b21670f9f658c.mp3,2,3,3,3,3,2,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190403/711d2dad2ea54168b80fae6793587031.mp3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190403/711d2dad2ea54168b80fae6793587031.mp3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/5dc8e14ec587473b9c42b202d042c598.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191221/2adef871b4f947dca43d47b011ba5b54.mp3,2,3,3,3,1,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190331/a45c7b5e679d45ad9d1c86e59435c13e.mp3,2,3,3,3,2,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190505/65f07460755a49bd804a6622d2645913.mp3,2,3,2,3,3,1,3,3,2,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/5dc8e14ec587473b9c42b202d042c598.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191221/2adef871b4f947dca43d47b011ba5b54.mp3,2,3,3,3,1,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190331/a45c7b5e679d45ad9d1c86e59435c13e.mp3,2,3,3,3,2,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190505/65f07460755a49bd804a6622d2645913.mp3,2,3,2,3,3,1,3,3,2,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190518/30d29c7ceb034ddcb3e73cfffe3e1479.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/78ae3982d4984bb894cc53c20a297ad9.mp3,1,3,2,1,1,1,1,3,1,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190823/5ea91ed09d134b14b3f1de9f516f19d4.mp3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190518/30d29c7ceb034ddcb3e73cfffe3e1479.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/78ae3982d4984bb894cc53c20a297ad9.mp3,1,3,2,1,1,1,1,3,1,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190823/5ea91ed09d134b14b3f1de9f516f19d4.mp3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190328/c8a7c9e12b3646739aa83d1c9667cd35.mp3,2,3,3,3,3,1,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190328/c8a7c9e12b3646739aa83d1c9667cd35.mp3,2,3,3,3,3,1,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190917/bb2884eceba0477093d4e832ef6dff63.mp3,1,2,3,1,1,1,1,3,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190204/f6ffa62d63e045cca75e3cec1310b0a6.mp3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190917/bb2884eceba0477093d4e832ef6dff63.mp3,1,2,3,1,1,1,1,3,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190204/f6ffa62d63e045cca75e3cec1310b0a6.mp3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190228/7e263b06cb52497d8adc4277e7f30ac6.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191030/fb9389c2801e46c1889792b3f204d864.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190228/7e263b06cb52497d8adc4277e7f30ac6.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191030/fb9389c2801e46c1889792b3f204d864.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190516/416bdd7597114c52b0a2abc60d048636.mp3,2,3,3,3,3,1,2,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190516/416bdd7597114c52b0a2abc60d048636.mp3,2,3,3,3,3,1,2,3,2,3,3,/
