audiourl,overall_evaluation(level: 1/2/3),THEY,MADE,A,CHOICE,AND,WENT,OUT,IN,SEARCH,OF,FOOD.
https://mtutor.blob.core.windows.net/system-user-audio/20190113/909c180899f94b1bbd6a00cf0c286d6e.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/0081ce05a4a34c14a383037ef4d85fc2.mp3,2,2,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/9e3e90ebcd35472ebb3f2c55b9e25999.mp3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190404/878eaf9552b440a9863222903bb2d6be.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190113/909c180899f94b1bbd6a00cf0c286d6e.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/0081ce05a4a34c14a383037ef4d85fc2.mp3,2,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/9e3e90ebcd35472ebb3f2c55b9e25999.mp3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190404/878eaf9552b440a9863222903bb2d6be.mp3,2,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/5593ac6acdc647f69480ed832ac5c570.mp3,2,3,3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/2ea27584882c4f6baf3864a87ee65abd.mp3,2,3,3,3,3,3,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/5593ac6acdc647f69480ed832ac5c570.mp3,3,3,3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/2ea27584882c4f6baf3864a87ee65abd.mp3,2,3,3,3,3,3,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190906/6268724c485c4a87b1afa1c779b13233.mp3,2,3,3,3,3,2,2,2,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190906/6268724c485c4a87b1afa1c779b13233.mp3,3,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190303/185e998540cc4902b0d3091e94f7f970.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190127/6765879cf64d4079bbf4c139a16f8674.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/0b4709f7b3b542dfbaa6a57113c64333.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190602/6b32893d5e044a12968565d00bd8fa91.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190124/51fccf619c8a443b9742f40eee629e02.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191218/cebabb80885c4dbabef11ccab444ef89.mp3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190303/185e998540cc4902b0d3091e94f7f970.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190127/6765879cf64d4079bbf4c139a16f8674.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/0b4709f7b3b542dfbaa6a57113c64333.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190602/6b32893d5e044a12968565d00bd8fa91.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190124/51fccf619c8a443b9742f40eee629e02.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191218/cebabb80885c4dbabef11ccab444ef89.mp3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/bddd00e64eb64b68900e5f96486ccbcb.mp3,2,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190513/77739a6066154f12b8d4e81f27bb8806.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/bddd00e64eb64b68900e5f96486ccbcb.mp3,2,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190513/77739a6066154f12b8d4e81f27bb8806.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/a317cc5f69864b1db21fe9ef4d0f8214.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191107/88faeb23956341e1a77cd6396f6ed26d.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/2d5a154ef52c4a80a026a5da33a3472b.mp3,2,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/0375d163fbbe48afb2a1b6a03bb28ef0.mp3,2,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/817fe511b4de46bdaac80cfb39bbcc10.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190324/ab5d09bf2a9a486e8e2cd809dbc77aab.mp3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/a317cc5f69864b1db21fe9ef4d0f8214.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191107/88faeb23956341e1a77cd6396f6ed26d.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/2d5a154ef52c4a80a026a5da33a3472b.mp3,2,3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/0375d163fbbe48afb2a1b6a03bb28ef0.mp3,2,3,3,2,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/817fe511b4de46bdaac80cfb39bbcc10.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190324/ab5d09bf2a9a486e8e2cd809dbc77aab.mp3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/35bea526d7114bb88dc92504b24f9134.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/35bea526d7114bb88dc92504b24f9134.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/2dbd49a6333740cd9b0ed219ce0d3f52.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190902/3a18070fc19b44f88042c9b2be1280bf.mp3,2,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191016/a179341a8575458b9c119907e7c9f30a.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190926/7472361cc5dd473c85e8886d1ba1f3ea.mp3,2,3,3,3,3,3,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/2dbd49a6333740cd9b0ed219ce0d3f52.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190902/3a18070fc19b44f88042c9b2be1280bf.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191016/a179341a8575458b9c119907e7c9f30a.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190926/7472361cc5dd473c85e8886d1ba1f3ea.mp3,2,3,3,3,3,3,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190523/c168f8a916f44d4ab8d0f2cc8936ce33.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/c09fea12f50444dd8e4add9c968ca62d.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190817/8e050cb793974048bf9dec40efacbfd9.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190523/c168f8a916f44d4ab8d0f2cc8936ce33.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/c09fea12f50444dd8e4add9c968ca62d.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190817/8e050cb793974048bf9dec40efacbfd9.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/9409a9ec5fb14116b86c0e07496fdb04.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190214/5d1c69fa0d124995807f92338d438ee6.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190831/b157e88a470142679c74f8a558c7f82f.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/257ef5678409449bbb7b0db9ee1e0614.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/8841fbe22e1148f1a99c7f9729edcb44.mp3,3,3,3,3,3,3,3,3,3,3,3,/
