audiourl,overall_evaluation(level: 1/2/3),"""DAD!""",HE,"PUFFED,","""IS",IT,TRUE,THAT,AN,APPLE,A,DAY,KEEPS,THE,DOCTOR,"AWAY?"""
https://mtutor.blob.core.windows.net/system-user-audio/20181217/07f26991afde4e3fa578c118799cf64f.mp3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181117/b307f6bb3a5b4bec8b5e8ff882a94425.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181117/87c2e1499fc64ef79308ab2af516255c.mp3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181212/6532d975a4fe480da09937f77b7aa0bb.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181213/12c0afc1af4140eea4631ffdbfd05670.mp3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181217/96377135684c44d8a17549c13510b1a3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181127/7c9fcb4c318c4f44bdf1b8e1a6036dc2.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181205/831bf7b5b87f4e6fbe7798e958c6d0af.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181210/f8f2e60c9ee1440788ae2a61a6c32149.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181127/8e564090dead4f7c9af2da1a3be1410c.mp3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181203/dbb5fbfb00e84d84a38e9bb2de05e78e.mp3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181204/8f2943f3527b4cd6a16bee803ec4af2a.mp3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181025/9e3b1ad56afd496cbc77a7fe5d0389b4.mp3,1,3,3,3,1,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181212/79115dc09d244f98b701bcba89f3d33e.mp3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190530/9c967612cc3648aaa27517d8a73b380f.mp3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190926/02f2307c05114682b91b4d754a53dc57.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190926/fbfedc790b3f4dc29c719562e897ec06.mp3,1,3,3,2,3,3,3,3,3,3,3,2,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20191011/cdf6361c9f024a7ca013768395b989a9.mp3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/541d5caaaa994240b3eff85f4a69e7ab.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/69ca3b8592b7470aa514cc61e752d853.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/b8fad40d9b0c43ae823894e198d70d06.mp3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/f491e3bf6f8042d8b839df160c91aa5c.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191121/c46bbb8095bd4a10a8b97d9b2ea6a70c.mp3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191121/a0486141582d4bbe9f087168f11db882.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/a4cb77a199054050a42e6ca4e5514dd4.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/f51da279bbd844198109a978f0d7ac46.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/ce610c50dd694d16918cefbe06731b24.mp3,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190308/6cf3c6d4c89a416da45f8fdd212076cd.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/775d8c03322b416ebea5bba3d4618132.mp3,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190723/30c80b920bbe4cc28ecbd8b877897e8e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/366129783a3d49758bb5ac0309d6cd9c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/e46b621e585f4eb7ac339828604e025f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/ff2bff370cd44aa08a51bc5505459317.mp3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/d8b9cb4e310d4aa5b37a8525a4a15732.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/007216e2185c4a68891fb683ed945ac0.mp3,1,3,1,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/63824ad5b97a47c0a81b1fb6a71ba2cc.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/6904f046061640ec9b64480cc765968e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/b568675826e54075b256d91134584719.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/c8e979f27fcd4589b87ec609f8cb05e0.mp3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/5fb589ee9e5f4d75b10c24eed0b5725e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/745670bdcab24851a3212f9cdfda7707.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/52de2ab512ff44198965e9998556c8fc.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/2e1cf4f1b1f8416186f8c6f394cd9662.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/41f56583722a4c8bb996d0232f46c56d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/5f0664eaaadd4547842152038e0f4bf1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/38d35b4bf1be40a3a7cc3f315694e4b9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/2c1c38a8963d4f0e83e848edbee61781.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/c658bde512e64ac1b93f188754afb75d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/84f3a068d40544faadecb2a874c2fbf3.mp3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/d55495157dd147329b5f8885e432b34a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/791f2cab76e7497ba042a39a55af0c4a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/5d37353093b5447aa718e7debaef4913.mp3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/76768b8d007a4b7ba8c8699982a5d39a.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/4d4c9425ad744740a896d8d5a572d2c2.mp3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/847ac0b234bf430a803a83303b75100d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/0cc6aa2a449c424bb6a00536b8d0ae06.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/0de59f4818c74b0caf5a0928bf13f6c4.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/911fe8e8023f4397a878e7c779935e02.mp3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/21bf58472c74448e8d960754a08c5321.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/8577c32529fd41158ec698c25cd2b5de.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/02abe6d633f14e92a3a9b50b78ad3417.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/a0ebdf57115c4e2ab59613025a3551a2.mp3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/f8c9b04d97b84c1cb534302e3f6a40c5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/e9b7a89b09fa4dfe88d144bb1e4a5bff.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/5f1f0c7a16464f3da49b6611d6eeb221.mp3,1,3,3,3,3,1,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/2c80995fe79c46c9bffb51a0237133d1.mp3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/a6e114de8866454698e0e7b957397726.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/0e02ac4d5d6c4b04b1785a2856be1d2f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/3ab4b1112e1c4443b3e7bf556043e68b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/d3fb19c1bc054a2689b5131ec0c85acb.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/9e225addaf2d4abb94a56b2be5572c40.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/b64f5213fb0545afb6b1524a9b2b303e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/952a6235df3843b2be2b92766b3258de.mp3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190721/414f646839f14832be007051216a4b5f.mp3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,/
