audiourl,overall_evaluation(level: 1/2/3),THEIR,POOR,PARENTS,WERE,JUST,STARVING,AS,USUAL.
https://mtutor.blob.core.windows.net/system-user-audio/20190413/99c1056e99e44cc783f9578113b6896a.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190830/789b72df432442788f0df987f60d85e3.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200111/f49c93224b0145d6a042bcd26e4c76d0.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200112/717417ab422f4569950606f5a1190737.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/fb914f9ab6cf4aa58bb6d59cf3b74fd4.mp3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200111/f49c93224b0145d6a042bcd26e4c76d0.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200112/717417ab422f4569950606f5a1190737.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/fb914f9ab6cf4aa58bb6d59cf3b74fd4.mp3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200106/d10ebd44d5284c8783b9024feceb5124.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190314/3bf457fffb544207a37c6d89d22b23ce.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190803/3fcf04998aeb439484222a3eeac8238b.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/ec5a1da33dab4b6caa3f9c631cdd0a81.mp3,2,3,2,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190220/6a5d301a371c42dca8dd7689cd55e7ea.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200106/d10ebd44d5284c8783b9024feceb5124.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190314/3bf457fffb544207a37c6d89d22b23ce.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190803/3fcf04998aeb439484222a3eeac8238b.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/ec5a1da33dab4b6caa3f9c631cdd0a81.mp3,2,3,2,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190220/6a5d301a371c42dca8dd7689cd55e7ea.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190731/ecee0d34b2954684a871bea94c8bdb31.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/56084907af5346d5936ba12a661fa96e.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190228/e62fa85a4e064ffc8c7d319e416140a4.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190204/1f5c0a1cef064fef90ebcfbae8073796.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190731/ecee0d34b2954684a871bea94c8bdb31.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/56084907af5346d5936ba12a661fa96e.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190228/e62fa85a4e064ffc8c7d319e416140a4.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190204/1f5c0a1cef064fef90ebcfbae8073796.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190113/b3a9b5b083d84dc2acccdd7ea4d349ab.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/6f10d385284f4701995aa72a9d6cc912.mp3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/844c68a4be664f08a9209a554a27fce6.mp3,2,3,3,3,3,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190404/7929ab4608f9417d8c63aabc9e752c12.mp3,1,3,1,3,3,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190113/b3a9b5b083d84dc2acccdd7ea4d349ab.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190714/6f10d385284f4701995aa72a9d6cc912.mp3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/844c68a4be664f08a9209a554a27fce6.mp3,2,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190404/7929ab4608f9417d8c63aabc9e752c12.mp3,1,3,1,3,3,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/f1f8bb9c609d44ac83865227fa8f8d45.mp3,1,3,2,1,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/641d8f2b29f340c8933c33221c6deb4f.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/f1f8bb9c609d44ac83865227fa8f8d45.mp3,1,3,2,1,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/641d8f2b29f340c8933c33221c6deb4f.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190906/2e7fc94b70444a70b0cb15b601d8cc55.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190906/2e7fc94b70444a70b0cb15b601d8cc55.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190303/28ceb2a62bb148af9e9065c321de9af3.mp3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190127/3f8b60f3a4884e87bcf6c17948bfe176.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/87afa3288e954fcd994cb62c13ddce10.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190602/6f6360731de240bf95aa92125eebb90a.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190124/99aa125df3594df3a6ef305fb65bb74c.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191218/3ee7a5366b414d69aae9e1adf5d1f607.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190303/28ceb2a62bb148af9e9065c321de9af3.mp3,2,3,2,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190127/3f8b60f3a4884e87bcf6c17948bfe176.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/87afa3288e954fcd994cb62c13ddce10.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190602/6f6360731de240bf95aa92125eebb90a.mp3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190124/99aa125df3594df3a6ef305fb65bb74c.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191218/3ee7a5366b414d69aae9e1adf5d1f607.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/1da5972b1a6c445b80cd9b3a4d0e8990.mp3,1,3,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190513/d85ba6cd41e945e5bf220a4d72c4e109.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/1da5972b1a6c445b80cd9b3a4d0e8990.mp3,1,3,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190513/d85ba6cd41e945e5bf220a4d72c4e109.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/503c6c543d5f456cbe2b12fe189fedca.mp3,2,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191107/785d45e66e8042ae9ea518ff73a0ba0d.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/7ba35bf56bd24d00816b507778d5ab5b.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/fd6720141450405cb277f0a1414b8a8f.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/30666a9ceeae46849d0222a8d721b1fe.mp3,1,2,1,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190324/fb1d9372402c4803ac467c6e2f18b290.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/503c6c543d5f456cbe2b12fe189fedca.mp3,2,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191107/785d45e66e8042ae9ea518ff73a0ba0d.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/7ba35bf56bd24d00816b507778d5ab5b.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/fd6720141450405cb277f0a1414b8a8f.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190625/30666a9ceeae46849d0222a8d721b1fe.mp3,1,2,1,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190324/fb1d9372402c4803ac467c6e2f18b290.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/7746f12f7a34445883ea032d9a92f869.mp3,2,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190317/7746f12f7a34445883ea032d9a92f869.mp3,2,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/55c7bb8c2ec24116b29e89b80aec21d3.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190902/20761d25600e44558e99707bb63ed51e.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191016/ddbcbd8a453f4299a7b5cf7f7612c957.mp3,2,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190926/cf7177283014424ebc0bb45685ed8893.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/55c7bb8c2ec24116b29e89b80aec21d3.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190902/20761d25600e44558e99707bb63ed51e.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191016/ddbcbd8a453f4299a7b5cf7f7612c957.mp3,2,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190926/cf7177283014424ebc0bb45685ed8893.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190523/1a21d865fe0f4cb4b3af7c83b1d45e3f.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/86c16eb4f9484bf8911fcf0b0d7f976a.mp3,2,3,3,3,3,1,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190817/f2ab4a8017d448598bd3582e18250b09.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190523/1a21d865fe0f4cb4b3af7c83b1d45e3f.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/86c16eb4f9484bf8911fcf0b0d7f976a.mp3,2,3,3,3,3,1,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190817/f2ab4a8017d448598bd3582e18250b09.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/a326b823a68b4cdea7a767a44c73970a.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190214/0d1d2dfa1ce348abbbb391a057adb5eb.mp3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190831/313cf8ecfaca4e628e70d479b503d09e.mp3,3,3,3,3,3,3,3,3,/
